IP Countries	Map Countries	Matched Countries
Namibia	Namibia	Namibia
Nauru	Nauru	Nauru
Nepal	Nepal	Nepal
Netherlands	Netherlands	Netherlands
NA	Nevis	NA
New Caledonia	New Caledonia	New Caledonia
New Zealand	New Zealand	New Zealand
Nicaragua	Nicaragua	Nicaragua
Niger	Niger	Niger
Nigeria	Nigeria	Nigeria
Niue	Niue	Niue
Norfolk Island	Norfolk Island	Norfolk Island
Northern Mariana Islands	Northern Mariana Islands	Northern Mariana Islands
Norway	Norway	Norway
Oman	Oman	Oman
Pakistan	Pakistan	Pakistan
Palau	Palau	Palau
"Palestine, State of"	Palestine	Palestine
Panama	Panama	Panama
Papua New Guinea	Papua New Guinea	Papua New Guinea
Paraguay	Paraguay	Paraguay
Peru	Peru	Peru
Philippines	Philippines	Philippines
NA	Pitcairn Islands	NA
Poland	Poland	Poland
Portugal	Portugal	Portugal
Puerto Rico	Puerto Rico	Puerto Rico
Qatar	Qatar	Qatar
Reunion	Reunion	Reunion
Romania	Romania	Romania
Russian Federation	Russia	Russia
Rwanda	Rwanda	Rwanda
NA	Saba	NA
Saint Barthelemy	Saint Barthelemy	Saint Barthelemy
NA	Saint Helena	NA
Saint Kitts and Nevis	Saint Kitts	Saint Kitts
Saint Lucia	Saint Lucia	Saint Lucia
Saint Martin (French Part)	Saint Martin	Saint Martin
Saint Pierre and Miquelon	Saint Pierre and Miquelon	Saint Pierre and Miquelon
Saint Vincent and The Grenadines	Saint Vincent	Saint Vincent
Samoa	Samoa	Samoa
San Marino	San Marino	San Marino
Sao Tome and Principe	Sao Tome and Principe	Sao Tome and Principe
Saudi Arabia	Saudi Arabia	Saudi Arabia
Senegal	Senegal	Senegal
Serbia	Serbia	Serbia
Seychelles	Seychelles	Seychelles
NA	Siachen Glacier	India
Sierra Leone	Sierra Leone	Sierra Leone
Singapore	Singapore	Singapore
NA	Sint Eustatius	NA
Sint Maarten (Dutch Part)	Sint Maarten	Sint Maarten
Slovakia	Slovakia	Slovakia
Slovenia	Slovenia	Slovenia
Solomon Islands	Solomon Islands	Solomon Islands
Somalia	Somalia	Somalia
South Africa	South Africa	South Africa
South Georgia and The South Sandwich Islands	South Georgia	South Georgia
NA	South Sandwich Islands	NA
South Sudan	South Sudan	South Sudan
Spain	Spain	Spain
Sri Lanka	Sri Lanka	Sri Lanka
Sudan	Sudan	Sudan
Suriname	Suriname	Suriname
Swaziland	Swaziland	Swaziland
Sweden	Sweden	Sweden
Switzerland	Switzerland	Switzerland
Syrian Arab Republic	Syria	Syria
"Taiwan, Province of China"	Taiwan	Taiwan
Tajikistan	Tajikistan	Tajikistan
"Tanzania, United Republic of"	Tanzania	Tanzania
Thailand	Thailand	Thailand
Timor-Leste	Timor-Leste	Timor-Leste
NA	Tobago	Tobago
Togo	Togo	Togo
Tokelau	NA	New Zealand
Tonga	Tonga	Tonga
Trinidad and Tobago	Trinidad	Trinidad
Tunisia	Tunisia	Tunisia
Turkey	Turkey	Turkey
Turkmenistan	Turkmenistan	Turkmenistan
Turks and Caicos Islands	Turks and Caicos Islands	Turks and Caicos Islands
Tuvalu	NA	NA
Uganda	Uganda	Uganda
United Kingdom	UK	UK
Ukraine	Ukraine	Ukraine
United Arab Emirates	United Arab Emirates	United Arab Emirates
Uruguay	Uruguay	Uruguay
United States	USA	USA
United States Minor Outlying Islands	NA	NA
Uzbekistan	Uzbekistan	Uzbekistan
Vanuatu	Vanuatu	Vanuatu
"Venezuela, Bolivarian Republic of"	Venezuela	Venezuela
Viet Nam	Vietnam	Vietnam
"Virgin Islands, British"	Virgin Islands	Virgin Islands
"Virgin Islands, U.S."	NA	Virgin Islands
Wallis and Futuna	Wallis and Futuna	Wallis and Futuna
NA	Western Sahara	NA
Yemen	Yemen	Yemen
Zambia	Zambia	Zambia
Zimbabwe	Zimbabwe	Zimbabwe
